maat,gemiddeld,ci_lo,ci_hi,min,max,n
recommendation_semantic_coverage_f1,0.91,90.3,91.6,0.8188,0.941,43
recommendation_semantic_item_f1,0.8278,79.2,86.3,0.5581,1.0,43
problem_semantic_coverage_f1,0.9153,91.2,91.9,0.8813,0.9374,43
problem_semantic_item_f1,0.7679,71.8,81.9,0.3529,1.0,43
metadata_accuracy,0.7541,,,0.2857,1.0,43
field_completion_rate,0.9426,,,0.4348,1.0,43
report_label_accuracy,0.3788,,,0.0,0.6061,43
policy_logic_link_f1,0.0121,0.6,1.9,0.0,0.087,43
consultation_actor_f1,0.2155,17.1,26.0,0.0,0.5095,43
