advies_id,unique_id,adviescollege_id,college,title,date_published,download_url,n_tokens
1630,Adviesraad_internationale_vraagstukken_214,18,Adviesraad internationale vraagstukken,IS DE EUROZONE STORMBESTENDIG?,2017-07-01,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2017/07/07/is-de-eurozone-stormbestendig/Is_de_Eurozone_stormbestendig_AIV-advies-105_201707.pdf,8000
1571,Adviesraad_internationale_vraagstukken_153,18,Adviesraad internationale vraagstukken,Regulering van online content,2020-06-24,https://www.adviesraadinternationalevraagstukken.nl/site/binaries/site-content/collections/documents/2020/06/24/regulering-van-online-content/Regulering_van_online_content-AIV-advies-113_202006.pdf,8000
8803,Raad_voor_de_leefomgeving_en_infrastructuur_951,21,Raad voor de leefomgeving en infrastructuur,Gas voor Morgen,2005-01-01,https://www.rli.nl/sites/default/files/aer_advies_06062005_gas_voor_morgen.pdf,8000
8644,Raad_voor_de_leefomgeving_en_infrastructuur_804,21,Raad voor de leefomgeving en infrastructuur,Naar een sterk en houdbaar B&O-plan,2007-03-07,https://www.rli.nl/sites/default/files/200701boplan.pdf,3835
8082,Raad_voor_de_leefomgeving_en_infrastructuur_238,21,Raad voor de leefomgeving en infrastructuur,"Identiteit als troef, Waddenlandschap vol verrassingen",2008-12-17,https://www.rli.nl/sites/default/files/200805identiteitalstroef.pdf,8000
8066,Raad_voor_de_leefomgeving_en_infrastructuur_229,21,Raad voor de leefomgeving en infrastructuur,ADVIES ONDERWIJS EN ARBEIDSMARKT WATER,2011-08-29,https://www.rli.nl/sites/default/files/2011_advies_onderwijs_en_arbeidsmarkt_water_tcm308-306592.pdf,2824
8068,Raad_voor_de_leefomgeving_en_infrastructuur_214,21,Raad voor de leefomgeving en infrastructuur,Nederlandse logistiek 2040,2013-06-01,https://www.rli.nl/sites/default/files/adviesnederlandselogistiek2040designedtolastweb_0.pdf,8000
8024,Raad_voor_de_leefomgeving_en_infrastructuur_187,21,Raad voor de leefomgeving en infrastructuur,ADVIES INNOVATIE IN DE WATERKETEN,2015-04-20,https://www.rli.nl/sites/default/files/20150420-acw-36053-advies-innovatie-in-de-waterketen_tcm308-365029.pdf,6909
8025,Raad_voor_de_leefomgeving_en_infrastructuur_180,21,Raad voor de leefomgeving en infrastructuur,Mainports voorbij,2016-07-01,https://www.rli.nl/sites/default/files/advies_mainports_voorbij_voor_website.pdf,8000
8032,Raad_voor_de_leefomgeving_en_infrastructuur_184,21,Raad voor de leefomgeving en infrastructuur,DE STAD ALS GEZONDE HABITAT,2018-04-01,https://www.rli.nl/sites/default/files/de_stad_als_gezonde_habitat_def.pdf,8000
8017,Raad_voor_de_leefomgeving_en_infrastructuur_170,21,Raad voor de leefomgeving en infrastructuur,VERZET DE WISSEL NAAR BETER INTERNATIONAAL REIZIGERSVERVOER PER TREIN,2020-07-01,https://www.rli.nl/sites/default/files/advies_verzet_de_wissel_-_naar_beter_internationaal_reizigersverkeer_per_trein_-_def.pdf,8000
7995,Raad_voor_de_leefomgeving_en_infrastructuur_151,21,Raad voor de leefomgeving en infrastructuur,SPLIJTSTOF? BESLUITEN OVER KERNENERGIE VANUIT WAARDEN,2022-09-01,https://www.rli.nl/sites/default/files/advies_splijtstof_-_besluiten_over_kernenergie_vanuit_waarden_-_def.pdf,8000
6937,Onderwijsraad_542,30,Onderwijsraad,Ontwikkeling en ondersteuning van onderwijs,2010-01-01,https://www.onderwijsraad.nl/site/binaries/site-content/collections/documents/2010/01/27/ontwikkeling-en-ondersteuning-van-onderwijs/ontwikkeling-en-ondersteuning-van-onderwijs.pdf,8000
6908,Onderwijsraad_516,30,Onderwijsraad,Toezicht en bekostiging bij nieuwe schoolstichting,2010-07-01,https://www.onderwijsraad.nl/site/binaries/site-content/collections/documents/2010/07/23/toezicht-en-bekostiging-bij-nieuwe-schoolstichting/toezicht-en-bekostiging-bij-nieuwe-schoolstichting.pdf,8000
6879,Onderwijsraad_488,30,Onderwijsraad,Excellente leraren als inspirerend voorbeeld,2011-03-01,https://www.onderwijsraad.nl/site/binaries/site-content/collections/documents/2011/03/07/excellente-leraren-als-inspirerend-voorbeeld/excellente-leraren-als-inspirerend-voorbeeld.pdf,8000
6831,Onderwijsraad_442,30,Onderwijsraad,Hoger onderwijs voor de toekomst,2011-09-01,https://www.onderwijsraad.nl/site/binaries/site-content/collections/documents/2011/09/22/hoger-onderwijs-voor-de-toekomst/hoger-onderwijs-voor-de-toekomst.pdf,8000
6816,Onderwijsraad_408,30,Onderwijsraad,"Cultuureducatie: leren, creëren, inspireren!",2012-06-01,https://www.onderwijsraad.nl/site/binaries/site-content/collections/documents/2012/06/28/cultuureducatie-leren-creeren-inspireren/cultuureducatie.pdf,8000
6727,Onderwijsraad_344,30,Onderwijsraad,Humanisme als richting,2014-03-01,https://www.onderwijsraad.nl/site/binaries/site-content/collections/documents/2014/03/26/humanisme-als-richting/Humanisme-als-richting-maart-2015-1.7.pdf,2475
